"lang","file","speaker","wd_ID","wd","start","end","ref","tx","ft","mb_ID","mb","ps","gl","ph_ID","ph"
"guri1247","doreco_guri1247_FM11_a168","FVD","w001582","wart",434.972,435.142,"0242_doreco_guri1247_FM11_a168","an ngu_rna wart-rla yani tarukap-nginyi-ma.","And I came back from swimming.",NA,NA,NA,NA,"p005332 p005333 p005334","w 6 t`"
"guri1247","doreco_guri1247_FM11_a168","FVD","w001583","<<wip>>",435.142,435.318,"0242_doreco_guri1247_FM11_a168","an ngu_rna wart-rla yani tarukap-nginyi-ma.","And I came back from swimming.",NA,NA,NA,NA,"p005335","<<wip>>"
"guri1247","doreco_guri1247_FM11_a168","FVD","w001584","rla",435.318,435.512,"0242_doreco_guri1247_FM11_a168","an ngu_rna wart-rla yani tarukap-nginyi-ma.","And I came back from swimming.",NA,NA,NA,NA,"p005336 p005337","l` 6"
"guri1247","doreco_guri1247_FM11_a168","FVD","w001585","yani",435.512,435.753,"0242_doreco_guri1247_FM11_a168","an ngu_rna wart-rla yani tarukap-nginyi-ma.","And I came back from swimming.",NA,NA,NA,NA,"p005338 p005339 p005340 p005341","j 6 n I"
"guri1247","doreco_guri1247_FM14_a206","FBW","w006113","<p:>",286.156,286.294,"0066_doreco_guri1247_FM14_a206","yala-ngka-rni ngu-lu wuyarni na grave-ma yala-ngka-rni.","They placed her in a grave right there then.",NA,NA,NA,NA,"p020345","<p:>"
"guri1247","doreco_guri1247_FM14_a206","FBW","w006114","<<fm>grave>",286.294,286.534,"0066_doreco_guri1247_FM14_a206","yala-ngka-rni ngu-lu wuyarni na grave-ma yala-ngka-rni.","They placed her in a grave right there then.",NA,NA,NA,NA,"p020346","<<fm>grave>"
"guri1247","doreco_guri1247_FM14_a206","FBW","w006115","<<wip>>",286.534,286.738,"0066_doreco_guri1247_FM14_a206","yala-ngka-rni ngu-lu wuyarni na grave-ma yala-ngka-rni.","They placed her in a grave right there then.",NA,NA,NA,NA,"p020347","<<wip>>"
"guri1247","doreco_guri1247_FM14_a206","FBW","w006116","ma",286.738,286.949,"0066_doreco_guri1247_FM14_a206","yala-ngka-rni ngu-lu wuyarni na grave-ma yala-ngka-rni.","They placed her in a grave right there then.",NA,NA,NA,NA,"p020348 p020349","m 6"
"guri1247","doreco_guri1247_FM14_a206","FBW","w006117","yalangkarni",286.949,287.533,"0066_doreco_guri1247_FM14_a206","yala-ngka-rni ngu-lu wuyarni na grave-ma yala-ngka-rni.","They placed her in a grave right there then.",NA,NA,NA,NA,"p020350 p020351 p020352 p020353 p020354 p020355 p020356 p020357 p020358","j 6 l 6 N k 6 n` I"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006198","<p:>",62.914,64.953,"<p:>","<p:>","<p:>",NA,NA,NA,NA,"p020585","<p:>"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006199","ngu",64.953,65.134,"0004_doreco_guri1247_FM15_52_1a","+"" ngu paper-la yuwarru raiful, kuya.","""He's got to sign for the rifle,"" said Kurnmali.",NA,NA,NA,NA,"p020586 p020587","N U"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006200","<<wip>>",65.134,65.396,"0004_doreco_guri1247_FM15_52_1a","+"" ngu paper-la yuwarru raiful, kuya.","""He's got to sign for the rifle,"" said Kurnmali.",NA,NA,NA,NA,"p020588","<<wip>>"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006201","paperla",65.396,65.897,"0004_doreco_guri1247_FM15_52_1a","+"" ngu paper-la yuwarru raiful, kuya.","""He's got to sign for the rifle,"" said Kurnmali.",NA,NA,NA,NA,"p020589 p020590 p020591 p020592 p020593 p020594","p eI p 6 l 6"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006202","yuwarru",65.897,66.537,"0004_doreco_guri1247_FM15_52_1a","+"" ngu paper-la yuwarru raiful, kuya.","""He's got to sign for the rifle,"" said Kurnmali.",NA,NA,NA,NA,"p020595 p020596 p020597 p020598 p020599 p020600","j U w 6 r U"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006232","an",86.37,86.649,"0009_doreco_guri1247_FM15_52_1a","an ngu-yinangkulu piyarrp na kanya nyila-ma Waterloo boi-ma.","And some other people had reported that the Aboriginal workers at Waterloo had done it.",NA,NA,NA,NA,"p020703 p020704","6 n"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006233","ngu",86.649,86.939,"0009_doreco_guri1247_FM15_52_1a","an ngu-yinangkulu piyarrp na kanya nyila-ma Waterloo boi-ma.","And some other people had reported that the Aboriginal workers at Waterloo had done it.",NA,NA,NA,NA,"p020705 p020706","N U"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006234","<<wip>>",86.939,87.549,"0009_doreco_guri1247_FM15_52_1a","an ngu-yinangkulu piyarrp na kanya nyila-ma Waterloo boi-ma.","And some other people had reported that the Aboriginal workers at Waterloo had done it.",NA,NA,NA,NA,"p020707","<<wip>>"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006235","yinangkulu",87.549,88.102,"0009_doreco_guri1247_FM15_52_1a","an ngu-yinangkulu piyarrp na kanya nyila-ma Waterloo boi-ma.","And some other people had reported that the Aboriginal workers at Waterloo had done it.",NA,NA,NA,NA,"p020708 p020709 p020710 p020711 p020712 p020713 p020714 p020715 p020716","j I n 6 N k U l U"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006236","piyarrp",88.102,88.49,"0009_doreco_guri1247_FM15_52_1a","an ngu-yinangkulu piyarrp na kanya nyila-ma Waterloo boi-ma.","And some other people had reported that the Aboriginal workers at Waterloo had done it.",NA,NA,NA,NA,"p020717 p020718 p020719 p020720 p020721 p020722","p I j 6 r p"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006705","murlangkarni",358.063,358.65,"0060_doreco_guri1247_FM15_52_1a","+""raito, nyuntu-ma, marntaj na parra-lu-nyunu murlu-ngku-ma ngu-nyjurra nyurrulu murla-ngka-rni led-im-gu-ma yuwarru, kuya.","""OK - you mob hit each other with these sticks and then I'll let out of the chains"".",NA,NA,NA,NA,"p022528 p022529 p022530 p022531 p022532 p022533 p022534 p022535 p022536","m U l` 6 N k 6 n` I"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006706","<<fm>ledimgu>",358.65,359.28,"0060_doreco_guri1247_FM15_52_1a","+""raito, nyuntu-ma, marntaj na parra-lu-nyunu murlu-ngku-ma ngu-nyjurra nyurrulu murla-ngka-rni led-im-gu-ma yuwarru, kuya.","""OK - you mob hit each other with these sticks and then I'll let out of the chains"".",NA,NA,NA,NA,"p022537","<<fm>ledimgu>"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006707","<<wip>>",359.28,359.463,"0060_doreco_guri1247_FM15_52_1a","+""raito, nyuntu-ma, marntaj na parra-lu-nyunu murlu-ngku-ma ngu-nyjurra nyurrulu murla-ngka-rni led-im-gu-ma yuwarru, kuya.","""OK - you mob hit each other with these sticks and then I'll let out of the chains"".",NA,NA,NA,NA,"p022538","<<wip>>"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006708","ma",359.463,359.73,"0060_doreco_guri1247_FM15_52_1a","+""raito, nyuntu-ma, marntaj na parra-lu-nyunu murlu-ngku-ma ngu-nyjurra nyurrulu murla-ngka-rni led-im-gu-ma yuwarru, kuya.","""OK - you mob hit each other with these sticks and then I'll let out of the chains"".",NA,NA,NA,NA,"p022539 p022540","m 6"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w006709","yuwarru",359.73,360.26,"0060_doreco_guri1247_FM15_52_1a","+""raito, nyuntu-ma, marntaj na parra-lu-nyunu murlu-ngku-ma ngu-nyjurra nyurrulu murla-ngka-rni led-im-gu-ma yuwarru, kuya.","""OK - you mob hit each other with these sticks and then I'll let out of the chains"".",NA,NA,NA,NA,"p022541 p022542 p022543 p022544 p022545 p022546","j U w 6 r U"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007058","<p:>",573.874,575.405,"<p:>","<p:>","<p:>",NA,NA,NA,NA,"p023970","<p:>"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007059","ngu",575.405,575.64,"0117_doreco_guri1247_FM15_52_1a","ngu-wula wartan-ta kiyarni Japalyi-lu-ma kuya-rniny.","Japalyi tied up his arms and feet so he was splayed out.",NA,NA,NA,NA,"p023971 p023972","N U"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007060","<<wip>>",575.64,575.783,"0117_doreco_guri1247_FM15_52_1a","ngu-wula wartan-ta kiyarni Japalyi-lu-ma kuya-rniny.","Japalyi tied up his arms and feet so he was splayed out.",NA,NA,NA,NA,"p023973","<<wip>>"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007061","wula",575.783,576.005,"0117_doreco_guri1247_FM15_52_1a","ngu-wula wartan-ta kiyarni Japalyi-lu-ma kuya-rniny.","Japalyi tied up his arms and feet so he was splayed out.",NA,NA,NA,NA,"p023974 p023975 p023976 p023977","w U l 6"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007062","wartanta",576.005,576.511,"0117_doreco_guri1247_FM15_52_1a","ngu-wula wartan-ta kiyarni Japalyi-lu-ma kuya-rniny.","Japalyi tied up his arms and feet so he was splayed out.",NA,NA,NA,NA,"p023978 p023979 p023980 p023981 p023982 p023983 p023984","w 6 t` 6 n t 6"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007650","<p:>",903.745,903.875,"0202_doreco_guri1247_FM15_52_1a","ngu-lu kurlarnirra nyawa wart yani kankarra Kumunturru pinka-kurra.","Then they went south following the Coomanderoo river.",NA,NA,NA,NA,"p026327","<p:>"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007651","pinka",903.875,904.488,"0202_doreco_guri1247_FM15_52_1a","ngu-lu kurlarnirra nyawa wart yani kankarra Kumunturru pinka-kurra.","Then they went south following the Coomanderoo river.",NA,NA,NA,NA,"p026328 p026329 p026330 p026331 p026332","p I n k 6"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007652","<<wip>>",904.488,904.685,"0202_doreco_guri1247_FM15_52_1a","ngu-lu kurlarnirra nyawa wart yani kankarra Kumunturru pinka-kurra.","Then they went south following the Coomanderoo river.",NA,NA,NA,NA,"p026333","<<wip>>"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007653","ngurlu",904.685,904.861,"0202_doreco_guri1247_FM15_52_1a","ngu-lu kurlarnirra nyawa wart yani kankarra Kumunturru pinka-kurra.","Then they went south following the Coomanderoo river.",NA,NA,NA,NA,"p026334 p026335 p026336 p026337","N U l` U"
"guri1247","doreco_guri1247_FM15_52_1a","FBR","w007654","<p:>",904.861,905.712,"<p:>","<p:>","<p:>",NA,NA,NA,NA,"p026338","<p:>"
"guri1247","doreco_guri1247_FM15_52_1e","FBR","w010468","kuyany",555.103,555.371,"0144_doreco_guri1247_FM15_52_1e","kuya-ny-pa-rni munpa-ka makin-ta kankulupal.","Someone will sneak up while Jungkura's asleep.",NA,NA,NA,NA,"p036409 p036410 p036411 p036412 p036413","k U j 6 J"
"guri1247","doreco_guri1247_FM15_52_1e","FBR","w010469","<<fs>>",555.371,555.6,"0144_doreco_guri1247_FM15_52_1e","kuya-ny-pa-rni munpa-ka makin-ta kankulupal.","Someone will sneak up while Jungkura's asleep.",NA,NA,NA,NA,"p036414","<<fs>>"
"guri1247","doreco_guri1247_FM15_52_1e","FBR","w010470","<<wip>>",555.6,555.779,"0144_doreco_guri1247_FM15_52_1e","kuya-ny-pa-rni munpa-ka makin-ta kankulupal.","Someone will sneak up while Jungkura's asleep.",NA,NA,NA,NA,"p036415","<<wip>>"
"guri1247","doreco_guri1247_FM15_52_1e","FBR","w010471","<<fs>>",555.779,555.942,"0144_doreco_guri1247_FM15_52_1e","kuya-ny-pa-rni munpa-ka makin-ta kankulupal.","Someone will sneak up while Jungkura's asleep.",NA,NA,NA,NA,"p036416","<<fs>>"
"guri1247","doreco_guri1247_FM15_52_1e","FBR","w010472","parni",555.942,556.203,"0144_doreco_guri1247_FM15_52_1e","kuya-ny-pa-rni munpa-ka makin-ta kankulupal.","Someone will sneak up while Jungkura's asleep.",NA,NA,NA,NA,"p036417 p036418 p036419 p036420","p 6 n` I"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000015","ʔeeja",9.746,9.999,"0001_doreco_hoch1243_16pics2_MK","(Ahm) hąąpteʔe eeja wąąkra hanąąc stookįįreanąga (ahm) eeja waracganąąkšąną.","Today the men all gathered, there they are drinking.","m000019","eeja","adv.","there","p000041 p000042 p000043 p000044","? e: dZ a"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000016","waracga",9.999,10.851,"0001_doreco_hoch1243_16pics2_MK","(Ahm) hąąpteʔe eeja wąąkra hanąąc stookįįreanąga (ahm) eeja waracganąąkšąną.","Today the men all gathered, there they are drinking.","m000020 m000021","wa- racga","affix- v.tr.","OBJ.3PL- taste","p000045 p000046 p000047 p000048 p000049 p000050 p000051","w a 4 a tS g a"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000017","<<wip>>",10.851,11.286,"0001_doreco_hoch1243_16pics2_MK","(Ahm) hąąpteʔe eeja wąąkra hanąąc stookįįreanąga (ahm) eeja waracganąąkšąną.","Today the men all gathered, there they are drinking.","m000022","****","****","****","p000052","<<wip>>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000018","nąąkšąną",11.286,12.006,"0001_doreco_hoch1243_16pics2_MK","(Ahm) hąąpteʔe eeja wąąkra hanąąc stookįįreanąga (ahm) eeja waracganąąkšąną.","Today the men all gathered, there they are drinking.","m000023 m000024","=nąąk =šąną","=aux. -affix","=POS.NTL.PL =DECL","p000053 p000054 p000055 p000056 p000057 p000058 p000059","n a:~ k S a~ n a~"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000019","<p:>",12.006,13.067,"<p:>","<p:>","<p:>","m000025","<p:>","<p:>","<p:>","p000060","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000024","<<ui>oh>",15.885,16.058,"0002_doreco_hoch1243_16pics2_MK","(Ahm) horoǧocra oh hinųkižąšge hirorogiira waakižu waracgąnąk.","It looks like there is also a woman drinking with them.","m000031","oh","ENGLISH","oh","p000073","<<ui>oh>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000025","hinųkižą",16.058,16.74,"0002_doreco_hoch1243_16pics2_MK","(Ahm) horoǧocra oh hinųkižąšge hirorogiira waakižu waracgąnąk.","It looks like there is also a woman drinking with them.","m000032 m000033","hinųk =ižą","n. -num.","female =one","p000074 p000075 p000076 p000077 p000078 p000079 p000080 p000081","h i n u~ k i Z a~"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000026","<<wip>>",16.74,16.908,"0002_doreco_hoch1243_16pics2_MK","(Ahm) horoǧocra oh hinųkižąšge hirorogiira waakižu waracgąnąk.","It looks like there is also a woman drinking with them.","m000034","****","****","****","p000082","<<wip>>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000027","šge",16.908,17.404,"0002_doreco_hoch1243_16pics2_MK","(Ahm) horoǧocra oh hinųkižąšge hirorogiira waakižu waracgąnąk.","It looks like there is also a woman drinking with them.","m000035 m000036","=ižą =šge","-num. -affix","=one =also","p000083 p000084 p000085","S g e"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000028","<p:>",17.404,17.785,"0002_doreco_hoch1243_16pics2_MK","(Ahm) horoǧocra oh hinųkižąšge hirorogiira waakižu waracgąnąk.","It looks like there is also a woman drinking with them.","m000037","<p:>","<p:>","<p:>","p000086","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000048","hinųk",37.896,38.261,"0003_doreco_hoch1243_16pics2_MK","(ahm) (can I pick them up (ahm) eeja waracgąnąąkʼų hegų (ahm) hinųk hokarakire nįįsge","While they were drinking, they were kind of talking about their women.","m000062","hinųk","n.","female","p000145 p000146 p000147 p000148 p000149","h i n u~ k"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000049","hokarak",38.261,39.032,"0003_doreco_hoch1243_16pics2_MK","(ahm) (can I pick them up (ahm) eeja waracgąnąąkʼų hegų (ahm) hinųk hokarakire nįįsge","While they were drinking, they were kind of talking about their women.","m000063 m000064 m000065","ho -ka- rak","v.tr. -affix- v.tr.","tell -POSS.RFL- tell","p000150 p000151 p000152 p000153 p000154 p000155 p000156","h o k a 4 a k"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000050","<<wip>>",39.032,39.809,"0003_doreco_hoch1243_16pics2_MK","(ahm) (can I pick them up (ahm) eeja waracgąnąąkʼų hegų (ahm) hinųk hokarakire nįįsge","While they were drinking, they were kind of talking about their women.","m000066","****","****","****","p000157","<<wip>>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000051","ire",39.809,40.125,"0003_doreco_hoch1243_16pics2_MK","(ahm) (can I pick them up (ahm) eeja waracgąnąąkʼų hegų (ahm) hinųk hokarakire nįįsge","While they were drinking, they were kind of talking about their women.","m000067","-ire","-affix","-SBJ.3PL","p000158 p000159 p000160","i 4 e"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000052","<p:>",40.125,41.116,"0003_doreco_hoch1243_16pics2_MK","(ahm) (can I pick them up (ahm) eeja waracgąnąąkʼų hegų (ahm) hinųk hokarakire nįįsge","While they were drinking, they were kind of talking about their women.","m000068","<p:>","<p:>","<p:>","p000161","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000159","<p:>",133.114,133.396,"0011_doreco_hoch1243_16pics2_MK","Eesge (ahm) hinųknąka eeja eeja hokoroǧocnąkšąną.","That woman is looking at her child.","m000204","<p:>","<p:>","<p:>","p000531","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000160","hokoroǧoc",133.396,134.407,"0011_doreco_hoch1243_16pics2_MK","Eesge (ahm) hinųknąka eeja eeja hokoroǧocnąkšąną.","That woman is looking at her child.","m000205 m000206 m000207","ho -ko- roǧoc","v.tr. -affix- v.tr.","look.at(SBJ.3SG&OBJ.3SG) -POSS.RFL- look.at(SBJ.3SG&OBJ.3SG)","p000532 p000533 p000534 p000535 p000536 p000537 p000538 p000539 p000540","h o k o 4 o G o tS"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000161","<<wip>>",134.407,134.584,"0011_doreco_hoch1243_16pics2_MK","Eesge (ahm) hinųknąka eeja eeja hokoroǧocnąkšąną.","That woman is looking at her child.","m000208","****","****","****","p000541","<<wip>>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000162","nąkšąną",134.584,135.244,"0011_doreco_hoch1243_16pics2_MK","Eesge (ahm) hinųknąka eeja eeja hokoroǧocnąkšąną.","That woman is looking at her child.","m000209 m000210","=nąk =šąną","=aux. -affix","=POS.NTL(SBJ.3SG) =DECL","p000542 p000543 p000544 p000545 p000546 p000547 p000548","n a~ k S a~ n a~"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000163","<p:>",135.244,135.594,"<p:>","<p:>","<p:>","m000211","<p:>","<p:>","<p:>","p000549","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000186","<p:>",150.097,150.416,"0013_doreco_hoch1243_16pics2_MK","nąga waarukosra wąąkjąąre eeja higiǧo_ruti hakaraire","The police are dragging this man off.","m000243","<p:>","<p:>","<p:>","p000639","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000187","higiǧo",150.416,151.042,"0013_doreco_hoch1243_16pics2_MK","nąga waarukosra wąąkjąąre eeja higiǧo_ruti hakaraire","The police are dragging this man off.","m000244","higiǧo_ruti","v.tr.","drag(OBJ.3SG)","p000640 p000641 p000642 p000643 p000644 p000645","h i g i G o"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000188","<<wip>>",151.042,151.181,"0013_doreco_hoch1243_16pics2_MK","nąga waarukosra wąąkjąąre eeja higiǧo_ruti hakaraire","The police are dragging this man off.","m000245","****","****","****","p000646","<<wip>>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000189","ruti",151.181,151.606,"0013_doreco_hoch1243_16pics2_MK","nąga waarukosra wąąkjąąre eeja higiǧo_ruti hakaraire","The police are dragging this man off.","m000246","higiǧo_ruti","v.tr.","drag(OBJ.3SG)","p000647 p000648 p000649 p000650","4 u t i"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000190","<p:>",151.606,151.722,"0013_doreco_hoch1243_16pics2_MK","nąga waarukosra wąąkjąąre eeja higiǧo_ruti hakaraire","The police are dragging this man off.","m000247","<p:>","<p:>","<p:>","p000651","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000244","<p:>",192.804,196.021,"0017_doreco_hoch1243_16pics2_MK","Nąga wąąknąkre žige eeja wawewįnąk, ""eejaxjį cii_woonąse hocieja hųųkąnąkirekjene nąga koreesge sʼii eeja mįanąkikjene.""","This man there, he is thinking: ""they are probably going to put me in jail, maybe I have to sit there a long time"".","m000333","<p:>","<p:>","<p:>","p000887","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000245","wąąk",196.021,196.446,"0017_doreco_hoch1243_16pics2_MK","Nąga wąąknąkre žige eeja wawewįnąk, ""eejaxjį cii_woonąse hocieja hųųkąnąkirekjene nąga koreesge sʼii eeja mįanąkikjene.""","This man there, he is thinking: ""they are probably going to put me in jail, maybe I have to sit there a long time"".","m000334","wąąk","n.","man","p000888 p000889 p000890","w a:~ k"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000246","<<wip>>",196.446,196.547,"0017_doreco_hoch1243_16pics2_MK","Nąga wąąknąkre žige eeja wawewįnąk, ""eejaxjį cii_woonąse hocieja hųųkąnąkirekjene nąga koreesge sʼii eeja mįanąkikjene.""","This man there, he is thinking: ""they are probably going to put me in jail, maybe I have to sit there a long time"".","m000335","****","****","****","p000891","<<wip>>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000247","nąkre",196.547,197.115,"0017_doreco_hoch1243_16pics2_MK","Nąga wąąknąkre žige eeja wawewįnąk, ""eejaxjį cii_woonąse hocieja hųųkąnąkirekjene nąga koreesge sʼii eeja mįanąkikjene.""","This man there, he is thinking: ""they are probably going to put me in jail, maybe I have to sit there a long time"".","m000336","=nąkre","=pron_dem.","=POS.NTL:PROX","p000892 p000893 p000894 p000895 p000896","n a~ k 4 e"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000248","<p:>",197.115,197.396,"0017_doreco_hoch1243_16pics2_MK","Nąga wąąknąkre žige eeja wawewįnąk, ""eejaxjį cii_woonąse hocieja hųųkąnąkirekjene nąga koreesge sʼii eeja mįanąkikjene.""","This man there, he is thinking: ""they are probably going to put me in jail, maybe I have to sit there a long time"".","m000337","<p:>","<p:>","<p:>","p000897","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000372","<p:>",277.663,278.407,"0027_doreco_hoch1243_16pics2_MK","Nąga (ahm) cii_woonąse ciieja hoikšekeja mįįnąknąga woowazipnąkšąną.","He is sitting in the jail house in the corner, he is lonely.","m000505","<p:>","<p:>","<p:>","p001364","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000373","woowazip",278.407,279.139,"0027_doreco_hoch1243_16pics2_MK","Nąga (ahm) cii_woonąse ciieja hoikšekeja mįįnąknąga woowazipnąkšąną.","He is sitting in the jail house in the corner, he is lonely.","m000506","woowazip","v.act.","be.lonesome(SBJ.3SG)","p001365 p001366 p001367 p001368 p001369 p001370 p001371","w o: w a z i p"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000374","<<wip>>",279.139,279.411,"0027_doreco_hoch1243_16pics2_MK","Nąga (ahm) cii_woonąse ciieja hoikšekeja mįįnąknąga woowazipnąkšąną.","He is sitting in the jail house in the corner, he is lonely.","m000507","****","****","****","p001372","<<wip>>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000375","nąkšąną",279.411,279.958,"0027_doreco_hoch1243_16pics2_MK","Nąga (ahm) cii_woonąse ciieja hoikšekeja mįįnąknąga woowazipnąkšąną.","He is sitting in the jail house in the corner, he is lonely.","m000508 m000509","=nąk =šąną","=aux. -affix","=POS.NTL(SBJ.3SG) =DECL","p001373 p001374 p001375 p001376 p001377 p001378 p001379","n a~ k S a~ n a~"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000376","<p:>",279.958,280.946,"<p:>","<p:>","<p:>","m000510","<p:>","<p:>","<p:>","p001380","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000515","keesge",389.324,389.85,"0036_doreco_hoch1243_16pics2_MK","Nąga wąąkjąąre (ahm) nįįnawox (ahm) hiraš hiraašje_hiire horoǧocra nųnįge ""ka keesge keesge haanįkjene""","And this man, they are trying to offer him beer, (comment CW: hirawašje hiire) it looks like but: ""No, I’m not gonna do this."" (he said)","m000694 m000695","ke -sge","discontinuous_morpheme -adv.","NEG.IN -even","p001863 p001864 p001865 p001866 p001867","k e: s g e"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000516","haanį",389.85,390.32,"0036_doreco_hoch1243_16pics2_MK","Nąga wąąkjąąre (ahm) nįįnawox (ahm) hiraš hiraašje_hiire horoǧocra nųnįge ""ka keesge keesge haanįkjene""","And this man, they are trying to offer him beer, (comment CW: hirawašje hiire) it looks like but: ""No, I’m not gonna do this."" (he said)","m000696 m000697","haa =nį","v.tr. -affix","make/CAUS\1E.A =NEG.FIN","p001868 p001869 p001870 p001871","h a: n i~"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000517","<<wip>>",390.32,390.563,"0036_doreco_hoch1243_16pics2_MK","Nąga wąąkjąąre (ahm) nįįnawox (ahm) hiraš hiraašje_hiire horoǧocra nųnįge ""ka keesge keesge haanįkjene""","And this man, they are trying to offer him beer, (comment CW: hirawašje hiire) it looks like but: ""No, I’m not gonna do this."" (he said)","m000698","****","****","****","p001872","<<wip>>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000518","kjene",390.563,390.913,"0036_doreco_hoch1243_16pics2_MK","Nąga wąąkjąąre (ahm) nįįnawox (ahm) hiraš hiraašje_hiire horoǧocra nųnįge ""ka keesge keesge haanįkjene""","And this man, they are trying to offer him beer, (comment CW: hirawašje hiire) it looks like but: ""No, I’m not gonna do this."" (he said)","m000699","-kjene","-affix","-FUT","p001873 p001874 p001875 p001876 p001877","k dZ e n e"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000519","<p:>",390.913,392.33,"<p:>","<p:>","<p:>","m000700","<p:>","<p:>","<p:>","p001878","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000539","<p:>",410.437,410.891,"0038_doreco_hoch1243_16pics2_MK","(Ahm) hokiwagax teʔe (ahm) wąąknąkre hicąwį hiiraanąga (ahm) hocįcįkižą eeja hakižu mįįnąknąąkre woogiraknąkšąną.","In this picture this man and his wife they are sitting there together with a boy and he is telling them.","m000724","<p:>","<p:>","<p:>","p001941","<p:>"
"hoch1243","doreco_hoch1243_16pics2_MK","FS99","w000540","hocįcįk",410.891,411.72,"0038_doreco_hoch1243_16pics2_MK","(Ahm) hokiwagax teʔe (ahm) wąąknąkre hicąwį hiiraanąga (ahm) hocįcįkižą eeja hakižu mįįnąknąąkre woogiraknąkšąną.","In this picture this man and his wife they are sitting there together with a boy and he is telling them.","m000725 m000726","hocįcį -įk","n. -affix","boy -DIM","p001942 p001943 p001944 p001945 p001946 p001947 p001948","h o tS i~ tS i~ k"
